tm,stnId,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,maxWs,maxWsWd,maxInsWs,maxInsWsWd,avgRhm,minRhm,minRhmHrmt,avgCm10Te,avgCm20Te,avgCm30Te,avgCm5Te,avgLmac,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,avgPa,avgPs,avgPv,avgTca,avgTd,avgTs,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,hr1MaxIcsr,hr1MaxIcsrHrmt,hr1MaxRn,hr1MaxRnHrmt,hr24SumRws,iscs,maxInsWsHrmt,maxPs,maxPsHrmt,maxTaHrmt,maxWd,maxWsHrmt,mi10MaxRn,mi10MaxRnHrmt,minPs,minPsHrmt,minTaHrmt,minTg,n99Rn,ssDur,sumDpthFhsc,sumFogDur,sumGsr,sumLrgEv,sumRnDur,sumSmlEv,sumSsHr
2025-11-08,211,인제,10.4,8.2,12.1,0.0,2.1,4.9,20,10.4,20,78.9,69,1210,,,,,8.0,,,,,,999.8,1024.3,9.9,9.8,6.8,11.6,,,,,,,0.0,,1778,,0312,1028.4,0841,1444,70,0328,0.0,,1019.5,2348,2337,4.9,,10.4,,,,,,,0.0
2025-11-09,211,인제,11.1,6.4,16.4,,1.7,5.1,200,12.4,230,61.4,25,1347,,,,,2.0,,,,,,991.2,1015.4,7.6,3.0,2.6,12.4,,,,,,,,,1470,,1310,1019.5,0001,1346,180,1313,,,1012.5,1427,0159,1.2,,10.3,,,,,,,5.5
2025-11-10,211,인제,7.1,1.2,12.3,,1.7,3.7,180,7.8,230,36.3,18,1343,,,,,0.0,,,,,,994.1,1018.7,3.5,1.1,-7.9,8.2,,,,,,,,,1496,,0039,1021.7,2322,1443,200,1209,,,1016.1,1521,2343,-5.9,,10.3,,,,,,,7.8
2025-11-11,211,인제,5.0,-1.0,13.9,,0.8,2.7,180,5.2,200,63.1,29,1242,,,,,0.1,,,,,,998.6,1023.5,5.3,1.5,-2.2,6.9,,,,,,,,,669,,1228,1026.4,2339,1521,180,1230,,,1020.6,1415,0708,-7.3,,10.3,,,,,,,7.8
2025-11-12,211,인제,5.4,-1.3,15.0,,0.9,3.0,180,5.8,230,72.3,33,1531,,,,,0.0,,,,,,998.8,1023.7,6.1,0.0,-0.1,7.1,,,,,,,,,769,,1554,1027.8,0816,1520,180,1527,,,1020.1,1636,0703,-7.2,,10.2,,,,,,,7.7
2025-11-13,211,인제,6.9,0.8,15.3,,1.0,3.6,180,7.1,160,74.5,42,1505,,,,,0.6,,,,,,994.5,1019.2,7.1,1.8,2.1,8.5,,,,,,,,,822,,1407,1022.0,0010,1403,180,1221,,,1015.9,1426,0609,-4.9,,10.2,,,,,,,3.6
2025-11-14,211,인제,4.3,-0.8,13.3,,0.9,3.5,180,6.5,180,71.6,30,1458,,,,,0.1,,,,,,996.8,1021.8,5.6,0.1,-1.2,6.2,,,,,,,,,812,,1354,1025.7,2358,1441,20,1403,,,1019.0,1327,0701,-6.3,,10.2,,,,,,,6.7
2025-11-15,211,인제,4.2,-2.3,15.6,,0.6,2.4,200,4.2,200,67.0,22,1321,,,,,0.0,,,,,,1002.8,1028.0,5.1,1.1,-2.4,5.7,,,,,,,,,507,,1351,1030.2,0818,1505,360,1340,,,1024.9,1445,0631,-8.5,,10.1,,,,,,,7.7
2025-11-16,211,인제,8.5,-2.3,16.8,,1.9,4.7,200,9.7,230,57.5,22,1522,,,,,1.4,,,,,,1000.4,1025.0,5.8,1.6,-1.1,7.6,,,,,,,,,1621,,1651,1030.0,0306,1420,180,2006,,,1021.1,2347,0726,-8.4,,10.1,,,,,,,7.7
2025-11-17,211,인제,4.1,-1.3,12.9,,2.5,4.8,200,11.4,200,29.0,17,1142,,,,,0.1,,,,,,1001.0,1026.1,2.3,3.9,-13.0,6.4,,,,,,,,,2180,,0020,1028.3,2226,0003,250,1042,,,1021.2,0007,2319,-7.8,,10.1,,,,,,,7.6
